Postal Code,Municipality name (German),Municipality name (Dutch),Municipality name (French)
1470,,,Genappe
2550,,Kontich,
1780,,Wemmel,Wemmel
9185,,Wachtebeke,
1474,,,Genappe
8640,,Vleteren,
8690,,Alveringem,
6688,,,Bertogne
1742,,Ternat,
5001,,,Namur
5000,,,Namur
3580,,Beringen,
3742,,Bilzen,
3791,,Voeren,Fourons
5190,,,Jemeppe-sur-Sambre
5010,,,Namur
3945,,Ham,
8300,,Knokke-Heist,
8531,,Harelbeke,
4801,,,Verviers
4980,,,Trois-Ponts
6001,,,Charleroi
7970,,,Belœil
6042,,,Charleroi
1702,,Dilbeek,
1601,,Sint-Pieters-Leeuw,
9831,,Sint-Martens-Latem,
3200,,Aarschot,
9200,,Dendermonde,
9980,,Sint-Laureins,
4990,,,Lierneux
4053,,,Chaudfontaine
4681,,,Oupeye
1050,,Elsene,Ixelles
2531,,Boechout,
6813,,,Chiny
4458,,,Juprelle
4031,,,Liège
7034,,,Mons
6532,,,Thuin
6530,,,Thuin
7500,,,Tournai
7803,,,Ath
1200,,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert
3850,,Nieuwerkerken,
9051,,Gent,
4342,,,Awans
6200,,,Châtelet
7000,,,Mons
5333,,,Assesse
3970,,Leopoldsburg,
8650,,Houthulst,
6640,,,Vaux-sur-Sûre
1570,,Galmaarden,
9032,,Gent,
4367,,,Crisnée
4834,,,Limbourg
1050,,Sint-Gillis,Saint-Gilles
2500,,Lier,
4537,,,Verlaine
7850,,,Silly
7643,,,Antoing
8860,,Lendelede,
8953,,Heuvelland,
1701,,Dilbeek,
5060,,,Sambreville
5012,,,Namur
1790,,Affligem,
9406,,Ninove,
9940,,Evergem,
9982,,Sint-Laureins,
4680,,,Oupeye
4870,,,Olne
6533,,,Thuin
7120,,,Estinnes
7534,,,Tournai
6540,,,Lobbes
7901,,,Leuze-en-Hainaut
1461,,,Ittre
2840,,Rumst,
4672,,,Blegny
4451,,,Juprelle
6462,,,Chimay
4577,,,Modave
4260,,,Braives
5024,,,Namur
3724,,Kortessem,
3746,,Bilzen,
8301,,Knokke-Heist,
8421,,De Haan,
1931,,Machelen,
3130,,Begijnendijk,
3971,,Leopoldsburg,
6743,,,Étalle
3221,,Holsbeek,
7032,,,Mons
2910,,Essen,
2990,,Wuustwezel,
9230,,Wetteren,
9260,,Wichelen,
4100,,,Seraing
9255,,Buggenhout,
4052,,,Chaudfontaine
4633,,,Soumagne
7742,,,Pecq
5353,,,Ohey
7390,,,Quaregnon
7133,,,Binche
2540,,Hove,
2290,,Vorselaar,
6724,,,Habay
9050,,Gent,
4771,Amel,,Amblève
6593,,,Momignies
6596,,,Momignies
7781,,Komen-Waasten,Comines-Warneton
1421,,,Braine-l'Alleud
2100,,Antwerpen,
3191,,Boortmeerbeek,
1080,,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean
2880,,Bornem,
4780,Sankt Vith,,Saint-Vith
7880,,Vloesberg,Flobecq
6530,,,Thuin
6592,,,Momignies
5350,,,Ohey
6780,,,Messancy
8470,,Gistel,
8580,,Avelgem,
1761,,Roosdaal,
4254,,,Geer
6440,,,Froidchapelle
1044,,Schaarbeek,Schaerbeek
2099,,Antwerpen,
2220,,Heist-op-den-Berg,
2250,,Olen,
9921,,Lievegem,
4099,,,Awans
1341,,,Ottignies-Louvain-la-Neuve
1934,,Machelen,
9667,,Horebeke,
4452,,,Juprelle
4210,,,Burdinne
7801,,,Ath
7811,,,Ath
6031,,,Charleroi
7782,,Komen-Waasten,Comines-Warneton
6591,,,Momignies
1110,,Brussel,Bruxelles
8573,,Anzegem,
1980,,Zemst,
7641,,,Antoing
1472,,,Genappe
2200,,Herentals,
2940,,Stabroek,
5541,,,Hastière
3831,,Wellen,
8370,,Blankenberge,
8680,,Koekelare,
1831,,Machelen,
4720,Kelmis,,La Calamine
7322,,,Bernissart
6043,,,Charleroi
1040,,Etterbeek,Etterbeek
9075,,Gent,
9961,,Assenede,
9990,,Maldegem,
1741,,Ternat,
1982,,Zemst,
9620,,Zottegem,
4845,,,Jalhay
7340,,,Colfontaine
1012,,Brussel,Bruxelles
1495,,,Villers-la-Ville
2430,,Laakdal,
5574,,,Beauraing
6741,,,Étalle
1930,,Zaventem,
6830,,,Bouillon
6941,,,Durbuy
9992,,Maldegem,
4983,,,Trois-Ponts
4030,,,Liège
4684,,,Oupeye
7181,,,Seneffe
7760,,,Celles
7912,,,Frasnes-lez-Anvaing
1160,,Oudergem,Auderghem
5521,,,Onhaye
8952,,Heuvelland,
8900,,Ieper,
6704,,,Arlon
1800,,Vilvoorde,
1840,,Londerzeel,
1170,,Watermaal-Bosvoorde,Watermael-Boitsfort
1471,,,Genappe
7780,,Komen-Waasten,Comines-Warneton
5376,,,Havelange
6671,,,Gouvy
4102,,,Seraing
6240,,,Farciennes
6041,,,Charleroi
8851,,Ardooie,
9750,,Kruisem,
4860,,,Pepinster
7863,,,Lessines
6460,,,Chimay
7700,,Moeskroen,Mouscron
3118,,Rotselaar,
5377,,,Somme-Leuze
5081,,,La Bruyère
6821,,,Florenville
6834,,,Bouillon
6250,,,Aiseau-Presles
6560,,,Erquelinnes
1320,,,Beauvechain
5630,,,Cerfontaine
8377,,Zuienkerke,
8432,,Middelkerke,
6838,,,Bouillon
6924,,,Wellin
1630,,Linkebeek,Linkebeek
3350,,Linter,
4710,Lontzen,,Lontzen
7531,,,Tournai
9250,,Waasmunster,
4590,,,Ouffet
4606,,,Dalhem
3590,,Diepenbeek,
3722,,Kortessem,
6840,,,Neufchâteau
7504,,,Tournai
3472,,Kortenaken,
3212,,Lubbeek,
1640,,Sint-Genesius-Rode,Rhode-Saint-Genèse
1540,,Herne,
4632,,,Soumagne
7510,,,Tournai
7100,,,La Louvière
7610,,,Rumes
7522,,,Tournai
7906,,,Leuze-en-Hainaut
2040,,Antwerpen,
4217,,,Héron
5354,,,Ohey
5021,,,Namur
1770,,Liedekerke,
1981,,Zemst,
5003,,,Namur
6661,,,Houffalize
1933,,Zaventem,
4861,,,Pepinster
7140,,,Morlanwelz
6061,,,Charleroi
1325,,,Chaumont-Gistoux
1440,,,Braine-le-Château
2390,,Malle,
7861,,,Lessines
7131,,,Binche
1130,,Brussel,Bruxelles
2360,,Oud-Turnhout,
6692,,,Vielsalm
6980,,,La Roche-en-Ardenne
3530,,Houthalen-Helchteren,
3798,,Voeren,Fourons
8792,,Waregem,
9521,,Sint-Lievens-Houtem,
4357,,,Donceel
1730,,Asse,
9688,,Maarkedal,
5523,,,Onhaye
8954,,Heuvelland,
8970,,Poperinge,
3054,,Oud-Heverlee,
9991,,Maldegem,
9180,,Moerbeke,
6142,,,Fontaine-l'Évêque
2321,,Hoogstraten,
9790,,Wortegem-Petegem,
4650,,,Herve
4770,Amel,,Amblève
7910,,,Frasnes-lez-Anvaing
1049,,Evere,Evere
2590,,Berlaar,
5560,,,Houyet
5363,,,Hamois
5651,,,Walcourt
5030,,,Gembloux
3660,,Oudsbergen,
3370,,Boutersem,
5540,,,Hastière
3582,,Beringen,
8570,,Anzegem,
9190,,Stekene,
4161,,,Anthisnes
4257,,,Berloz
6210,,,Les Bons Villers
7802,,,Ath
1033,,Schaarbeek,Schaerbeek
1043,,Schaarbeek,Schaerbeek
6660,,,Houffalize
3052,,Oud-Heverlee,
1673,,Pepingen,
3720,,Kortessem,
6687,,,Bertogne
4540,,,Amay
4602,,,Visé
6032,,,Charleroi
7513,,,Tournai
7971,,,Belœil
7160,,,Chapelle-lez-Herlaimont
1035,,Schaarbeek,Schaerbeek
3500,,Hasselt,
3920,,Lommel,
1620,,Drogenbos,Drogenbos
612,,Sinterklaas,Saint-Nicolas
5502,,,Dinant
6940,,,Durbuy
9280,,Lebbeke,
4851,,,Plombières
4701,Eupen,,Eupen
1030,,Schaarbeek,Schaerbeek
1450,,,Chastre
4621,,,Fléron
7623,,,Brunehaut
6020,,,Charleroi
7601,,,Péruwelz
2610,,Antwerpen,
9340,,Lede,
9981,,Sint-Laureins,
9500,,Geraardsbergen,
4821,,,Dison
5590,,,Ciney
8310,,Brugge,
8660,,De Panne,
8820,,Torhout,
6850,,,Paliseul
6790,,,Aubange
3000,,Leuven,
3220,,Holsbeek,
1861,,Meise,
1755,,Gooik,
7022,,,Mons
1400,,,Nivelles
7800,,,Ath
6986,,,La Roche-en-Ardenne
6463,,,Chimay
8902,,Ieper,
1083,,Ganshoren,Ganshoren
1190,,Vorst,Forest
8540,,Deerlijk,
4041,,,Herstal
7973,,,Belœil
7030,,,Mons
3870,,Heers,
8890,,Moorslede,
3078,,Kortenberg,
7538,,,Tournai
5020,,,Namur
6791,,,Aubange
6960,,,Manhay
4820,,,Dison
7024,,,Mons
7012,,,Mons
4400,,,Flémalle
4121,,,Neupré
4890,,,Thimister-Clermont
7331,,,Saint-Ghislain
1350,,,Orp-Jauche
2242,,Zandhoven,
5670,,,Viroinval
8951,,Heuvelland,
6721,,,Habay
3380,,Glabbeek,
4802,,,Verviers
6470,,,Sivry-Rance
6182,,,Courcelles
1310,,,La Hulpe
3670,,Oudsbergen,
8511,,Kortrijk,
3071,,Kortenberg,
7830,,,Silly
1040,,Brussel,Bruxelles
5022,,,Namur
8740,,Pittem,
6672,,,Gouvy
6970,,,Tenneville
3320,,Hoegaarden,
4180,,,Hamoir
7031,,,Mons
6222,,,Fleurus
1047,,Elsene,Ixelles
2380,,Ravels,
2020,,Antwerpen,
5503,,,Dinant
6927,,,Tellin
3454,,Geetbets,
9870,,Zulte,
9060,,Zelzate,
9451,,Haaltert,
7951,,,Chièvres
1007,,Brussel,Bruxelles
1360,,,Perwez
2328,,Hoogstraten,
5504,,,Dinant
8020,,Oostkamp,
8200,,Brugge,
6951,,,Nassogne
1853,,Grimbergen,
3461,,Bekkevoort,
6674,,,Gouvy
3390,,Tielt-Winge,
1600,,Sint-Pieters-Leeuw,
4263,,,Braives
4190,,,Ferrières
4250,,,Geer
5332,,,Assesse
3740,,Bilzen,
6740,,,Étalle
5300,,,Andenne
9552,,Herzele,
4557,,,Tinlot
2300,,Turnhout,
2370,,Arendonk,
4630,,,Soumagne
6140,,,Fontaine-l'Évêque
7941,,,Brugelette
7350,,,Hensies
1046,,Evere,Evere
5530,,,Yvoir
5361,,,Hamois
3990,,Peer,
1745,,Opwijk,
3294,,Diest,
9472,,Denderleeuw,
9680,,Maarkedal,
4432,,,Ans
3321,,Hoegaarden,
9690,,Kluisbergen,
9661,,Brakel,
9080,,Lochristi,
4690,,,Bassenge
4130,,,Esneux
1031,,Schaarbeek,Schaerbeek
1008,,Brussel,Bruxelles
1300,,,Wavre
1420,,,Braine-l'Alleud
6997,,,Érezée
5621,,,Florennes
5020,,,Namur
3501,,Hasselt,
3950,,Bocholt,
6852,,,Paliseul
9681,,Maarkedal,
4750,Bütgenbach,,Butgenbach
4051,,,Chaudfontaine
7711,,Moeskroen,Mouscron
6210,,,Les Bons Villers
7190,,,Écaussinnes
2490,,Balen,
2530,,Boechout,
2270,,Herenthout,
5140,,,Sombreffe
5660,,,Couvin
5570,,,Beauraing
3840,,Borgloon,
6824,,,Florenville
3000,,Leuven,
1602,,Sint-Pieters-Leeuw,
6060,,,Charleroi
6542,,,Lobbes
6461,,,Chimay
7532,,,Tournai
9550,,Herzele,
9100,,Sint-Niklaas,
5543,,,Hastière
3583,,Beringen,
3891,,Gingelom,
8550,,Zwevegem,
8760,,Meulebeke,
6987,,,Rendeux
2381,,Ravels,
7822,,,Ath
1401,,,Nivelles
2640,,Mortsel,
3450,,Geetbets,
7020,,,Mons
3470,,Kortenaken,
9404,,Ninove,
9840,,De Pinte,
9160,,Lokeren,
3900,,Pelt,
8870,,Izegem,
6673,,,Gouvy
6833,,,Bouillon
3473,,Kortenaken,
6812,,,Chiny
3050,,Oud-Heverlee,
9932,,Lievegem,
9636,,Zwalm,
4711,Lontzen,,Lontzen
4830,,,Limbourg
7730,,,Estaimpuis
7334,,,Saint-Ghislain
1457,,,Walhain
1490,,,Court-Saint-Étienne
2000,,Antwerpen,
4141,,,Sprimont
7134,,,Binche
7382,,,Quiévrain
6600,,,Bastogne
1860,,Meise,
4700,Eupen,,Eupen
2650,,Edegem,
6831,,,Bouillon
6971,,,Tenneville
1671,,Pepingen,
9111,,Sint-Niklaas,
9470,,Denderleeuw,
3800,,Sint-Truiden,
3941,,Hechtel-Eksel,
8554,,Zwevegem,
8956,,Heuvelland,
6900,,,Marche-en-Famenne
3010,,Leuven,
4163,,,Anthisnes
4450,,,Juprelle
4970,,,Stavelot
7862,,,Lessines
6630,,,Martelange
9570,,Lierde,
7333,,,Saint-Ghislain
6120,,,Ham-sur-Heure-Nalinnes
7506,,,Tournai
1370,,,Jodoigne
1852,,Grimbergen,
8480,,Ichtegem,
7021,,,Mons
6717,,,Attert
6761,,,Virton
3140,,Keerbergen,
8770,,Ingelmunster,
9130,,Beveren,
4300,,,Waremme
4650,,,Herve
4840,,,Welkenraedt
2930,,Brasschaat,
2920,,Kalmthout,
2180,,Antwerpen,
5560,,,Houyet
8450,,Bredene,
8501,,Kortrijk,
8510,,Kortrijk,
8551,,Zwevegem,
8950,,Heuvelland,
1652,,Beersel,
3560,,Lummen,
3690,,Zutendaal,
6723,,,Habay
1880,,Kapelle-op-den-Bos,
1785,,Merchtem,
9971,,Kaprijke,
4790,Burg-Reuland,,Burg-Reuland
4800,,,Verviers
7943,,,Brugelette
1011,,Brussel,Bruxelles
7823,,,Ath
7061,,,Soignies
1020,,Brussel,Bruxelles
1090,,Jette,Jette
9570,,Lierde,
9600,,Ronse,Renaix
4624,,,Fléron
4500,,,Huy
4782,Sankt Vith,,Saint-Vith
4260,,,Braives
8647,,Lo-Reninge,
8957,,Mesen,Messines
6686,,,Bertogne
6742,,,Étalle
3012,,Leuven,
5362,,,Hamois
8710,,Wielsbeke,
6972,,,Tenneville
2812,,Mechelen,
9880,,Aalter,
9420,,Erpe-Mere,
4218,,,Héron
9551,,Herzele,
4000,,,Liège
4347,,,Fexhe-le-Haut-Clocher
4791,Burg-Reuland,,Burg-Reuland
6030,,,Charleroi
6099,,,Fleurus
3668,,As,
8958,,Heuvelland,
8980,,Zonnebeke,
1210,,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
5589,,,Rochefort
5575,,,Gedinne
6663,,,Houffalize
1935,,Zaventem,
3090,,Overijse,
1851,,Grimbergen,
3001,,Leuven,
9930,,Lievegem,
4783,Sankt Vith,,Saint-Vith
6141,,,Fontaine-l'Évêque
7063,,,Soignies
6224,,,Fleurus
1180,,Ukkel,Uccle
8211,,Zedelgem,
6984,,,La Roche-en-Ardenne
5680,,,Doische
2600,,Antwerpen,
2221,,Heist-op-den-Berg,
4760,Büllingen,,Bullange
4171,,,Comblain-au-Pont
3520,,Zonhoven,
3721,,Kortessem,
9910,,Aalter,
7911,,,Frasnes-lez-Anvaing
7810,,,Ath
2288,,Grobbendonk,
7600,,,Péruwelz
6040,,,Charleroi
2491,,Balen,
6670,,,Gouvy
3018,,Leuven,
3201,,Aarschot,
3360,,Bierbeek,
3211,,Lubbeek,
1910,,Kampenhout,
4101,,,Seraing
4900,,,Spa
7640,,,Antoing
7502,,,Tournai
6223,,,Fleurus
5520,,,Onhaye
5070,,,Fosses-la-Ville
3940,,Hechtel-Eksel,
8420,,De Haan,
8780,,Oostrozebeke,
6760,,,Virton
3391,,Tielt-Winge,
9500,,Geraardsbergen,
1342,,,Ottignies-Louvain-la-Neuve
2240,,Zandhoven,
5520,,,Onhaye
4682,,,Oupeye
4460,,,Grâce-Hollogne
7621,,,Brunehaut
7866,,,Lessines
1099,,Brussel,Bruxelles
5646,,,Mettet
5563,,,Houyet
8600,,Diksmuide,
6720,,,Habay
1850,,Grimbergen,
9000,,Gent,
7812,,,Ath
2260,,Westerlo,
2811,,Mechelen,
3630,,Maasmechelen,
8380,,Brugge,
6982,,,La Roche-en-Ardenne
1733,,Asse,
9099,,Gent,
4850,,,Plombières
4731,Raeren,,Raeren
7530,,,Tournai
8930,,Menen,
3400,,Landen,
8530,,Harelbeke,
1701,,Dilbeek,
9310,,Aalst,
4728,Kelmis,,La Calamine
7503,,,Tournai
7622,,,Brunehaut
1435,,,Mont-Saint-Guibert
1480,,,Tubize
1041,,Brussel,Bruxelles
3700,,Tongeren,
8431,,Middelkerke,
6952,,,Nassogne
1750,,Lennik,
9820,,Merelbeke,
4160,,,Anthisnes
4960,Malmedy,,Malmedy
5564,,,Houyet
5555,,,Bièvre
5360,,,Hamois
8552,,Zwevegem,
6890,,,Libin
9240,,Zele,
4841,,,Welkenraedt
7548,,,Tournai
1654,,Beersel,
5640,,,Mettet
1653,,Beersel,
4761,Büllingen,,Bullange
4877,,,Olne
4670,,,Blegny
4652,,,Herve
7740,,,Pecq
7332,,,Saint-Ghislain
7010,,,Mons
6500,,,Beaumont
7624,,,Brunehaut
7130,,,Binche
5031,,,Gembloux
8520,,Kuurne,
1932,,Zaventem,
3070,,Kortenberg,
1000,,Elsene,Ixelles
1390,,,Grez-Doiceau
2235,,Hulshout,
9150,,Kruibeke,
9810,,Nazareth,
5080,,,La Bruyère
3640,,Kinrooi,
6983,,,La Roche-en-Ardenne
1541,,Herne,
3270,,Scherpenheuvel-Zichem,
2310,,Rijkevorsel,
2845,,Niel,
2060,,Antwerpen,
2627,,Schelle,
2382,,Ravels,
9473,,Denderleeuw,
7864,,,Lessines
9900,,Eeklo,
6150,,,Anderlues
7602,,,Péruwelz
6010,,,Charleroi
3790,,Voeren,Fourons
8583,,Avelgem,
6690,,,Vielsalm
3020,,Herent,
5340,,,Gesves
5576,,,Beauraing
5570,,,Beauraing
8434,,Middelkerke,
8972,,Poperinge,
6782,,,Messancy
1703,,Dilbeek,
6211,,,Les Bons Villers
2620,,Hemiksem,
9140,,Temse,
4570,,,Marchin
6464,,,Chimay
6044,,,Charleroi
6030,,,Charleroi
6230,,,Pont-à-Celles
2870,,Puurs-Sint-Amands,
5364,,,Hamois
6769,,,Meix-devant-Virton
1650,,Beersel,
8582,,Avelgem,
5524,,,Onhaye
8790,,Waregem,
6920,,,Wellin
4040,,,Herstal
7803,,,Ath
1000,,Brussel,Bruxelles
2275,,Lille,
2950,,Kapellen,
3111,,Rotselaar,
1560,,Hoeilaart,
1674,,Pepingen,
3053,,Oud-Heverlee,
9881,,Aalter,
9571,,Lierde,
7512,,,Tournai
7620,,,Brunehaut
7300,,,Boussu
1700,,Dilbeek,
4560,,,Clavier
6594,,,Momignies
7783,,Komen-Waasten,Comines-Warneton
2801,,Mechelen,
5600,,,Philippeville
5641,,,Mettet
5501,,,Dinant
5150,,,Floreffe
8610,,Kortemark,
8755,,Ruiselede,
6660,,,Houffalize
1820,,Steenokkerzeel,
1502,,Halle,
5550,,,Vresse-sur-Semois
8830,,Hooglede,
3401,,Landen,
3210,,Lubbeek,
1501,,Halle,
9771,,Kruisem,
4181,,,Hamoir
1060,,Sint-Gillis,Saint-Gilles
1300,,,Wavre
6990,,,Hotton
3650,,Dilsen-Stokkem,
3665,,As,
8750,,Wingene,
9630,,Zwalm,
4608,,,Dalhem
1081,,Koekelberg,Koekelberg
2330,,Merksplas,
1547,,Bever,Biévène
9400,,Ninove,
7501,,,Tournai
7870,,,Lens
3570,,Alken,
6750,,,Musson
6762,,,Virton
5374,,,Havelange
5572,,,Beauraing
5580,,,Rochefort
6820,,,Florenville
3293,,Diest,
9403,,Ninove,
9572,,Lierde,
4610,,,Beyne-Heusay
4800,,,Verviers
7543,,,Tournai
7903,,,Leuze-en-Hainaut
6075,,,Fleurus
1301,,,Wavre
1330,,,Rixensart
9830,,Sint-Martens-Latem,
9850,,Deinze,
9170,,Sint-Gillis-Waas,
4000,,,Liège
8800,,Roeselare,
3271,,Scherpenheuvel-Zichem,
3631,,Maasmechelen,
8500,,Kortrijk,
6811,,,Chiny
6856,,,Paliseul
6887,,,Herbeumont
1980,,Zemst,
1760,,Roosdaal,
7533,,,Tournai
7090,,,Braine-le-Comte
9320,,Aalst,
9090,,Melle,
4852,,,Plombières
3471,,Kortenaken,
3110,,Rotselaar,
4219,,,Wasseiges
6183,,,Courcelles
3540,,Herk-de-Stad,
6851,,,Paliseul
6220,,,Fleurus
1212,,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
5650,,,Walcourt
5334,,,Assesse
3545,,Halen,
8587,,Spiere-Helkijn,Espierres-Helchin
8906,,Ieper,
9890,,Gavere,
4252,,,Geer
7033,,,Mons
7940,,,Brugelette
6441,,,Froidchapelle
2230,,Herselt,
9120,,Beveren,
5562,,,Houyet
7062,,,Soignies
2861,,Sint-Katelijne-Waver,
1005,,Brussel,Bruxelles
2070,,Zwijndrecht,
3960,,Bree,
1009,,Brussel,Bruxelles
8340,,Damme,
1048,,Brussel,Bruxelles
4607,,,Dalhem
4630,,,Soumagne
4730,Raeren,,Raeren
9052,,Gent,
4050,,,Chaudfontaine
4162,,,Anthisnes
4601,,,Visé
4650,,,Herve
7320,,,Bernissart
4430,,,Ans
2900,,Schoten,
1380,,,Lasne
5500,,,Dinant
9931,,Lievegem,
5542,,,Hastière
4170,,,Comblain-au-Pont
3550,,Heusden-Zolder,
4631,,,Soumagne
3793,,Voeren,Fourons
4470,,,Saint-Georges-sur-Meuse
3803,,Sint-Truiden,
2850,,Boom,
3830,,Wellen,
3080,,Tervuren,
8430,,Middelkerke,
1651,,Beersel,
6662,,,Houffalize
6860,,,Léglise
4317,,,Faimes
7950,,,Chièvres
5002,,,Namur
3832,,Wellen,
1970,,Wezembeek-Oppem,Wezembeek-Oppem
4550,,,Nandrin
4653,,,Herve
7900,,,Leuze-en-Hainaut
1430,,,Rebecq
1476,,,Genappe
2110,,Wijnegem,
6880,,,Bertrix
3051,,Oud-Heverlee,
4253,,,Geer
4950,Weismes,,Waimes
7904,,,Leuze-en-Hainaut
7070,,,Le Rœulx
1000,,Sint-Joost-ten-Node,Saint-Josse-ten-Noode
2223,,Heist-op-den-Berg,
2800,,Mechelen,
5100,,,Namur
5004,,,Namur
9042,,Gent,
9520,,Sint-Lievens-Houtem,
4987,,,Stoumont
7130,,,Binche
7603,,,Péruwelz
7041,,,Quévy
2160,,Wommelgem,
7170,,,Manage
1402,,,Nivelles
2400,,Dessel,
5573,,,Beauraing
8000,,Brugge,
8400,,Oostende,
8630,,Veurne,
8670,,Koksijde,
6953,,,Nassogne
9401,,Ninove,
7784,,Komen-Waasten,Comines-Warneton
5380,,,Fernelmont
3621,,Lanaken,
3770,,Riemst,
3790,,Voeren,Fourons
8210,,Zedelgem,
8490,,Jabbeke,
6666,,,Houffalize
6690,,,Vielsalm
6730,,,Tintigny
6747,,,Saint-Léger
3440,,Zoutleeuw,
3150,,Haacht,
3404,,Landen,
3290,,Diest,
5537,,,Anhée
6853,,,Paliseul
9270,,Laarne,
9290,,Berlare,
4140,,,Sprimont
4780,Sankt Vith,,Saint-Vith
7611,,,Rumes
1404,,,Nivelles
2520,,Ranst,
5561,,,Houyet
3723,,Kortessem,
3910,,Pelt,
9,,Scherpenheuvel-Zichem,
4453,,,Juprelle
6536,,,Thuin
9988,,Sint-Laureins,
9400,,Ninove,
3581,,Beringen,
3717,,Herstappe,Herstappe
3980,,Tessenderlo,
8553,,Zwevegem,
8700,,Tielt,
3120,,Tremelo,
2150,,Borsbeek,
2387,,Baarle-Hertog,
1460,,,Ittre
4730,Raeren,,Raeren
4480,,,Engis
4910,,,Theux
7330,,,Saint-Ghislain
7370,,,Dour
7321,,,Bernissart
7608,,,Péruwelz
1315,,,Incourt
4620,,,Fléron
6681,,,Sainte-Ode
6792,,,Aubange
5352,,,Ohey
5522,,,Onhaye
3512,,Hasselt,
8560,,Wevelgem,
6830,,,Bouillon
3128,,Tremelo,
1731,,Asse,
9968,,Assenede,
9041,,Gent,
4623,,,Fléron
4431,,,Ans
4600,,,Visé
7521,,,Tournai
6567,,,Merbes-le-Château
1070,,Anderlecht,Anderlecht
2860,,Sint-Katelijne-Waver,
2470,,Retie,
2460,,Kasterlee,
2890,,Puurs-Sint-Amands,
2140,,Antwerpen,
9402,,Ninove,
9920,,Lievegem,
9030,,Gent,
6181,,,Courcelles
7301,,,Boussu
1410,,,Waterloo
2350,,Vosselaar,
8791,,Waregem,
8880,,Ledegem,
8460,,Oudenburg,
5101,,,Namur
3930,,Hamont-Achel,
4280,,,Hannut
7972,,,Belœil
612,,Sinterklaas,Saint-Nicolas
2030,,Antwerpen,
1804,,Vilvoorde,
9950,,Lievegem,
8904,,Ieper,
1105,,Brussel,Bruxelles
2320,,Hoogstraten,
9860,,Oosterzele,
6781,,,Messancy
6110,,,Montigny-le-Tilleul
7604,,,Péruwelz
2431,,Laakdal,
6920,,,Wellin
5351,,,Ohey
8978,,Poperinge,
3300,,Tienen,
1950,,Kraainem,Kraainem
9700,,Oudenaarde,
9770,,Kruisem,
4650,,,Herve
2170,,Antwerpen,
2630,,Aartselaar,
1006,,Brussel,Bruxelles
6950,,,Nassogne
3381,,Glabbeek,
4020,,,Liège
7712,,Moeskroen,Mouscron
3061,,Bertem,
9400,,Ninove,
9960,,Assenede,
7642,,,Antoing
6543,,,Lobbes
